oblast,region,row_id,text,col,local_val,remote_val,action
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447223,Разведение лошадей и прочих животных семейства лошадиных,y122023,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447223,Разведение лошадей и прочих животных семейства лошадиных,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447224,Разведение лошадей,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447224,Разведение лошадей,y122023,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447224,Разведение лошадей,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447233,"Разведение птицы на мясо, племенной птицы и молодняка",y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447233,"Разведение птицы на мясо, племенной птицы и молодняка",y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447252,"Охота и отлов, включая предоставление услуг в этих областях",y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447252,"Охота и отлов, включая предоставление услуг в этих областях",y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447252,"Охота и отлов, включая предоставление услуг в этих областях",y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447252,"Охота и отлов, включая предоставление услуг в этих областях",y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447253,"Охота и отлов, включая предоставление услуг в этих областях",y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447253,"Охота и отлов, включая предоставление услуг в этих областях",y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447253,"Охота и отлов, включая предоставление услуг в этих областях",y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447253,"Охота и отлов, включая предоставление услуг в этих областях",y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447254,"Охота и отлов, включая предоставление услуг в этих областях",y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447254,"Охота и отлов, включая предоставление услуг в этих областях",y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447254,"Охота и отлов, включая предоставление услуг в этих областях",y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447254,"Охота и отлов, включая предоставление услуг в этих областях",y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18683346,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18683347,"Деятельность, способствующая растениеводству",y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18683348,"Деятельность, способствующая растениеводству, кроме эксплуатации оросительных систем",y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18683350,"Деятельность, способствующая животноводству",y122023,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18683351,"Деятельность, способствующая животноводству",y122023,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447268,Рыболовство и рыбоводство,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447268,Рыболовство и рыбоводство,y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447274,Рыбоводство,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447274,Рыбоводство,y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447277,Пресноводное рыбоводство,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447277,Пресноводное рыбоводство,y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447278,Пресноводное рыбоводство,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447278,Пресноводное рыбоводство,y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448148,Строительство,y122023,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448157,Гражданское строительство,y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448157,Гражданское строительство,y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448157,Гражданское строительство,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448158,Строительство автомобильных и железных дорог,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448158,Строительство автомобильных и железных дорог,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18696143,Строительство автомобильных дорог,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18696143,Строительство автомобильных дорог,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18946136,Строительство дорог и автомагистралей,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18946136,Строительство дорог и автомагистралей,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448165,Строительство распределительных инженерных сооружений,y122020,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448165,Строительство распределительных инженерных сооружений,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448165,Строительство распределительных инженерных сооружений,y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448165,Строительство распределительных инженерных сооружений,y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448166,Строительство трубопроводов,y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448168,Строительство трубопроводов для систем водоснабжения и канализации,y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448170,Строительство линий электропередач и телекоммуникаций ,y122020,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448170,Строительство линий электропередач и телекоммуникаций ,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448170,Строительство линий электропередач и телекоммуникаций ,y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448171,Строительство линий электропередач и телекоммуникаций ,y122020,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448171,Строительство линий электропередач и телекоммуникаций ,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448171,Строительство линий электропередач и телекоммуникаций ,y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710963,Строительство зданий,y122020,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710963,Строительство зданий,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710963,Строительство зданий,y122023,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710963,Строительство зданий,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710964,Разработка строительных проектов,y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710965,Разработка строительных проектов,y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710966,Разработка строительных проектов,y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710967,Строительство жилых и нежилых зданий,y122020,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710967,Строительство жилых и нежилых зданий,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710967,Строительство жилых и нежилых зданий,y122023,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710967,Строительство жилых и нежилых зданий,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710968,Строительство жилых и нежилых зданий,y122020,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710968,Строительство жилых и нежилых зданий,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710968,Строительство жилых и нежилых зданий,y122023,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710968,Строительство жилых и нежилых зданий,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18710969,Строительство жилых зданий,y122020,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18801543,"Строительство нежилых зданий, за исключением стационарных торговых объектов категорий 1, 2",y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18801543,"Строительство нежилых зданий, за исключением стационарных торговых объектов категорий 1, 2",y122023,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,18801543,"Строительство нежилых зданий, за исключением стационарных торговых объектов категорий 1, 2",y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448267,"Оптовая торговля продуктами питания, напитками и табачными изделиями",y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448267,"Оптовая торговля продуктами питания, напитками и табачными изделиями",y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448268,Оптовая торговля фруктами и овощами,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448268,Оптовая торговля фруктами и овощами,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448269,Оптовая торговля фруктами и овощами,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448269,Оптовая торговля фруктами и овощами,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448287,Оптовая торговля непродовольственными товарами потребительского назначения,y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448287,Оптовая торговля непродовольственными товарами потребительского назначения,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448294,"Оптовая торговля бытовыми электротоварами, радио- и  телевизионным оборудованием",y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448294,"Оптовая торговля бытовыми электротоварами, радио- и  телевизионным оборудованием",y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448295,Оптовая торговля бытовыми электротоварами,y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448295,Оптовая торговля бытовыми электротоварами,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448307,Оптовая торговля прочими непродовольственными товарами потребительского назначения,y122023,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448310,"Оптовая торговля прочими непродовольственными товарами потребительского назначения, не включенными в другие группировки",y122023,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448331,Прочая специализированная оптовая торговля ,y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448332,"Оптовая торговля твердым, жидким и газообразным топливом и подобными продуктами",y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448341,Оптовая торговля прочим топливом,y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448378,Розничная торговля в неспециализированных магазинах,y122020,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448381,Прочая розничная торговля в неспециализированных магазинах,y122020,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,3647936,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",y122020,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,3647937,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью более 2000 кв.м (2000 кв.м и выше)",y122023,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448409,Розничная торговля прочими бытовыми товарами в специализированных магазинах ,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448416,Розничная торговля электрическими бытовыми приборами в специализированных магазинах,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,3647962,"Розничная торговля электрическими бытовыми приборами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448433,Розничная торговля прочими товарами в специализированных магазинах,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448433,Розничная торговля прочими товарами в специализированных магазинах,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448437,Розничная торговля обувью и кожаными изделиями в специализированных магазинах,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448437,Розничная торговля обувью и кожаными изделиями в специализированных магазинах,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448438,"Розничная торговля обувью в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448438,"Розничная торговля обувью в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448476,Деятельность сухопутного и трубопроводного транспорта ,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448477,Деятельность пассажирского железнодорожного транспорта в междугородном сообщении,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448478,Деятельность пассажирского железнодорожного транспорта в междугородном сообщении,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448479,Деятельность пассажирского железнодорожного транспорта в междугородном сообщении,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448483,Деятельность прочего пассажирского сухопутного транспорта,y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448484,Деятельность сухопутного транспорта по городским и пригородным пассажирским перевозкам,y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448485,Перевозки автобусами,y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448499,Деятельность трубопроводного транспорта,y122020,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448499,Деятельность трубопроводного транспорта,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448500,Деятельность трубопроводного транспорта,y122020,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448500,Деятельность трубопроводного транспорта,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448501,Деятельность трубопроводного транспорта,y122020,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448501,Деятельность трубопроводного транспорта,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448528,Складирование и хранение грузов,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448529,Складирование и хранение грузов,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448530,Складирование и хранение зерна,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448531,"Складирование и хранение непродовольственных товаров, кроме зерна и нефти",y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,77247719,"Складирование и хранение непродовольственных товаров, кроме зерна, масличных культур и нефти",—,ОТСУТСТВУЕТ,—,ADDED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448547,Прочая вспомогательная транспортная деятельность,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,448550,Прочая транспортно-экспедиционная деятельность,y122021,,x,PATCHED
